"x1" "x2" "y"
"128" 7.92 5.81 3.02
"129" 6.64 4.91 4.51
"130" 7.35 7.63 5.74
"131" 8.12 7.15 11.49
"132" 6.82 4.23 2.78
"133" 9.06 3.89 4.19
"134" 4.96 6.97 5.95
"135" 8.61 4.71 3.11
"136" 4.93 3.9 1.34
"137" 7.4 2.59 3.33
"138" 6.94 2.39 3.29
"139" 6.7 6.14 4.56
"140" 7.89 6.01 4
"141" 4.17 7.43 4.79
"142" 10.35 3.81 3.97
"143" 4.67 7.6 4.97
"144" 7.07 3.21 4.04
"145" 5.77 6.75 5.99
"146" 6.5 3.35 3.58
"147" 12.17 2.18 4.86
"148" 8.03 7.17 8.39
"149" 5.43 6.11 4.76
"150" 4.72 7.65 4.44
"151" 8.9 6.06 7.39
"152" 7.96 7.06 4.32
"153" 7.36 4.17 5.98
"154" 6.14 4.35 5.35
"155" 5.03 5.41 4.68
"156" 5.85 2.57 3.01
"157" 10 3.16 5.96
"158" 6.76 5.53 4.6
"159" 5.23 6.51 3.94
"160" 11.74 7.2 11.55
"161" 8.85 4.23 3.54
"162" 7.52 6.79 4.88
"163" 10.12 2.35 6.1
"164" 9.77 5.74 10.25
"165" 6.76 4.14 4.12
"166" 12.41 5.53 8.98
"167" 7.49 7.48 4.94
"168" 5.15 3.2 5.14
"169" 7.71 4.21 4.52
"170" 8.42 6.03 11.15
"171" 12.62 6.61 9.42
"172" 8.21 5.13 8.62
"173" 8.91 6.97 10.17
"174" 7.85 5.16 1.75
"175" 7.33 5.01 4.99
"176" 7.93 4.52 5.12
"177" 9.58 4.17 4.22
"178" 12.15 2.74 3.1
"179" 10.05 3.79 4.01
"180" 10.42 3.66 6.44
"181" 5.54 6.62 3.57
"182" 9.97 6.67 6.59
"183" 8.44 2.86 5.52
"184" 5.07 5.09 3.87
"185" 9.04 5.58 8.86
"186" 7.68 5.04 2.98
"187" 10.93 4.32 4.47
"188" 6.47 4.56 5.38
"189" 7.14 2.07 3.77
"190" 6.15 7.52 3.74
"191" 7.65 2.48 5.87
"192" 8.8 5.04 9.19
"193" 6.54 6.92 4.3
"194" 9.66 5.59 8.72
"195" 5.58 4.54 5.63
"196" 5.9 5.36 3.26
"197" 10.88 6.73 10.56
"198" 5.97 3.01 5.51
"199" 8.82 7.82 8.92
"200" 7.24 4.84 5.56
"201" 8.82 7.58 10.73
"202" 11.38 7.41 10.22
"203" 11.17 6.51 12.03
"204" 7.34 6.06 2.05
"205" 3.43 5.89 3.04
"206" 13 2.44 2.78
"207" 9.33 4.54 4.71
"208" 9.08 5.18 11.48
"209" 7.97 7.66 6.6
"210" 9.02 6.27 10.11
"211" 7.67 6.35 5.6
"212" 8.84 4.82 4.32
"213" 7.2 2.72 5.09
"214" 5.26 6.7 4.97
"215" 9.98 4.63 3.55
"216" 11.04 4.59 4.13
"217" 7.38 2.16 4.33
"218" 5.49 2.88 6.24
"219" 9.28 4.54 3.2
"220" 7.91 6.6 1.86
"221" 4.53 2.03 5.46
"222" 8 5.62 8.48
"223" 6.74 7.43 3.95
"224" 7.32 6.24 5.63
"225" 5.69 3.58 3.55
"226" 11.61 7.11 9.07
"227" 7.34 4 6.38
"228" 4.79 5.47 5.16
"229" 8.39 4.6 5.18
"230" 8.53 2.31 4.33
"231" 6.03 6.38 3.08
"232" 2.22 5.29 2.63
"233" 6.72 6.51 4.22
"234" 9.14 2.3 7
"235" 7.88 6.29 4.78
"236" 7.8 3.79 4.71
"237" 9.12 3.7 4.92
"238" 5.63 6.98 4.02
"239" 10.19 2.52 2.75
"240" 7.99 2.26 7.84
"241" 9.41 4.09 3.97
"242" 10.07 5.25 9.13
"243" 8.45 5.66 7.26
"244" 6.24 3.63 4.19
"245" 10.33 3.23 4.19
"246" 4 4.29 4.18
"247" 6.91 4.84 2.27
"248" 7.49 7.01 6.73
"249" 7.67 2.73 6.7
"250" 10.04 6.05 10.36
